userId,movieId,rating
1,19995,4
1,285,3
1,206647,4
1,49026,5
1,49529,5
1,559,3
1,38757,5
1,99861,4
1,767,5
1,209112,5
1,1452,5
1,10764,5
1,58,3
1,57201,5
1,49521,4
1,2454,5
1,24428,3
1,1865,3
1,41154,5
1,122917,4
1,1930,4
1,20662,5
1,57158,4
1,2268,3
1,254,4
1,597,5
1,271110,4
1,44833,3
1,135397,5
1,37724,4
1,558,4
1,68721,5
1,12155,4
1,36668,4
1,62211,4
1,8373,5
1,91314,5
1,68728,3
1,102382,5
1,20526,3
1,49013,4
1,44912,3
1,10193,3
1,534,4
1,168259,5
1,72190,5
1,127585,5
1,54138,4
1,81005,5
1,64682,3
1,9543,5
1,68726,5
1,38356,5
1,217,5
1,105864,3
1,62177,5
1,188927,5
1,10681,4
1,5174,5
1,14161,4
1,17979,5
1,76757,5
1,258489,5
1,411,4
1,246655,5
1,155,5
1,14160,4
1,15512,5
1,1726,5
1,44826,5
1,8487,5
1,1735,5
1,297761,4
1,2698,5
1,137113,5
1,9804,4
1,14869,2
1,150540,5
1,278927,5
1,10138,5
1,58595,5
1,102651,5
1,119450,5
1,79698,3
1,64686,4
1,100402,5
1,10192,5
1,158852,5
1,177572,5
1,82690,5
1,5255,5
1,47933,4
1,10191,3
1,296,3
1,118340,3
1,157336,3
1,27205,4
1,315011,4
1,49051,5
1,9799,4
1,4922,5
1,49538,3
1,131634,5
1,27022,5
1,503,4
1,241259,5
1,810,3
1,68735,3
1,87101,5
1,10140,4
1,676,4
1,1858,5
1,1966,4
1,675,4
1,674,5
1,8960,5
1,6479,4
1,118,4
1,2062,5
1,272,4
1,10527,5
1,18360,4
1,2080,5
1,605,4
1,109445,5
1,604,4
1,76338,5
1,76341,5
1,13448,5
1,10195,3
1,13053,5
1,19585,4
1,57165,4
1,62213,4
1,177677,5
1,7978,5
1,5559,5
1,49444,5
1,10196,5
1,956,4
1,117251,5
1,50321,4
1,11619,4
1,266647,2
1,82703,4
1,652,4
1,80321,5
1,36669,5
1,43074,2
1,95,5
1,608,4
1,2310,5
1,140300,2
1,56292,5
1,81188,4
1,7552,3
1,616,5
1,147441,4
1,13475,5
1,557,5
1,82702,4
1,205584,4
1,10048,5
1,13183,3
1,944,5
